search_engine_keyword,session_entry_url,search_engine_impressions,search_engine_clicks,search_engine_ctr,search_engine_average_position
ministerie buitenlandse zaken,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/onderwerpen,34569,393,0.011368567213399289,4.145708582834331
coronavirus,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/corona-opleving-in-spanje-tips-voor-vakantiegangers,33748,271,0.008030105487732607,10.637578523171744
ministerie van buitenlandse zaken,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/nieuws,33443,235,0.00702688155966869,2.7458361989056006
coronamaatregelen duitsland,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/wepke-kingma,30486,959,0.03145706225808568,6.431903168667585
zomervakantie 2020,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/dirk-jan-nieuwenhuis,27653,127,0.004592630094383973,4.829457924999096
ministerie van buitenlandse zaken,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/organisatie,26289,118,0.004488569363612157,3.723154170946023
buitenlandse zaken,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/diplomatieke-verklaringen,25106,18,0.0007169600892217,3.7972994503305983
frankrijk corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/dirk-jan-nieuwenhuis,24922,315,0.012639435037316427,11.750341064120054
zomervakantie 2020,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/jan-versteeg,24224,103,0.004251981505944518,4.722836856010568
buitenlandse zaken reisadvies,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/contact/contactformulieren/vragen-over-reisadviezen,22250,260,0.011685393258426966,6.941078651685393
ministerie buitenlandse zaken,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/documenten,20677,46,0.002224694104560623,3.806306524157276
buza,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/contact,19514,381,0.019524443988931023,2.1054114994363022
nederland,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-verhaal-van-bz/nederland-en-de-vn,17493,28,0.001600640256102441,7.081689818784657
griekenland reisadvies,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/stella-ronner,16831,470,0.027924662824549938,6.989899590042184
rivm spanje,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/corona-opleving-in-spanje-tips-voor-vakantiegangers,16117,560,0.03474592045666067,5.139914376124589
sardinie corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/joost-flamand,16057,1213,0.07554337672043346,5.69838699632559
ministerie buitenlandse zaken,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/organisatie,15964,22,0.0013781007266349286,4.5119017790027565
italie reisadvies,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/joost-flamand,15110,199,0.013170086035737922,8.22223692918597
zweden,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/ines-coppoolse,14623,313,0.021404636531491487,7.426725022225262
berlijn corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/wepke-kingma,13882,2257,0.16258464198242328,3.250036017864861
coronavirus spanje,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/corona-opleving-in-spanje-tips-voor-vakantiegangers,13727,451,0.03285495738325927,6.681066511255191
corona in duitsland,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/wepke-kingma,12931,830,0.06418683783156755,4.559740159307092
vakantie griekenland corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/stella-ronner,12924,1184,0.09161250386877128,5.570566388115135
beiroet,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/hester-somsen,12588,243,0.019304099142040038,6.2448363520813475
italie vakantie corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/joost-flamand,12470,745,0.05974338412189254,4.454129911788292
reisadvies buitenlandse zaken,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/contact/contactformulieren/vragen-over-reisadviezen,12400,147,0.011854838709677419,7.030241935483871
rivm corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/corona-opleving-in-spanje-tips-voor-vakantiegangers,12324,95,0.007708536189548848,5.904008438818566
buza,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/onderwerpen,12266,125,0.010190771237567259,2.0820153269199415
corona in spanje,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/corona-opleving-in-spanje-tips-voor-vakantiegangers,11917,594,0.04984475958714442,7.433414449945456
corona nederland,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/wepke-kingma,11730,30,0.0025575447570332483,8.08994032395567
frankrijk,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/dirk-jan-nieuwenhuis,11448,209,0.018256464011180994,5.51301537386443
ministerie buitenlandse zaken,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/privacy,11396,31,0.00272025272025272,5.36969111969112
buza reisadvies,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/contact/contactformulieren/vragen-over-reisadviezen,11330,112,0.009885260370697264,6.3572815533980584
reisadvies,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/contact/contactformulieren/vragen-over-reisadviezen,11317,90,0.00795263762481223,7.747194486171247
reisadvies,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/corona-opleving-in-spanje-tips-voor-vakantiegangers,11261,38,0.003374478287896279,5.258502797264897
vakantie duitsland corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/wepke-kingma,11256,623,0.05534825870646766,4.337864250177683
rijksoverheid reisadvies,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/contact/contactformulieren/vragen-over-reisadviezen,10941,196,0.017914267434420986,6.048715839502788
toeristen griekenland corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/stella-ronner,9950,48,0.004824120603015076,8.273768844221106
spanje,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/jan-versteeg,9927,429,0.043215472952553645,5.941875692555656
ministerie van buitenlandse zaken,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-verhaal-van-bz,9919,7,0.0007057163020465773,5.282588970662365
vakantie 2020,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/jan-versteeg,9664,118,0.012210264900662252,2.7431705298013247
italie corona maatregelen,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/joost-flamand,9619,1051,0.10926291714315417,3.9547770038465537
corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/wepke-kingma,9538,20,0.0020968756552736424,12.87156636611449
vakantie frankrijk corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/dirk-jan-nieuwenhuis,9104,384,0.0421792618629174,7.680689806678383
ministerie buitenlandse zaken,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/nieuws,9066,29,0.0031987646150452237,5.620891242003088
vakantie italie corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/joost-flamand,8986,777,0.08646783886044959,4.463610060093479
italië corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/joost-flamand,8792,211,0.02399909008189263,8.6127161055505
griekse eilanden coronavirus,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/stella-ronner,8656,87,0.010050831792975971,7.718461182994455
minbuza,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/contact,8524,127,0.014899108399812294,1.2354528390427029
