timestamp__to_date,searches,sessions
2019-10-23,1337,17289
2019-08-15,1337,15314
2020-02-14,1333,17062
2020-01-17,1333,18348
2019-08-02,1333,14843
2019-01-24,1333,13546
2019-01-15,1332,14887
2020-07-31,1330,25668
2019-02-13,1330,14125
2020-06-02,1326,27536
2020-03-18,1326,23588
2019-04-17,1326,17241
2019-10-11,1325,14969
2019-02-21,1323,13900
2019-03-27,1320,16659
2019-03-14,1318,14250
2019-01-10,1313,14808
2019-10-10,1312,17020
2019-06-04,1310,15959
2019-05-09,1308,15944
2019-02-06,1305,13213
2020-02-27,1302,18701
2020-06-19,1301,28280
2019-10-31,1293,15947
2020-03-09,1292,16709
2019-02-04,1292,12969
2019-09-03,1285,17947
2020-01-02,1284,17588
2019-03-13,1284,15329
2019-08-23,1282,14274
2019-11-06,1276,17303
2019-06-21,1276,16194
2019-02-05,1272,13065
2019-04-04,1267,15921
2020-06-01,1266,24910
2019-12-18,1266,16678
2020-07-19,1262,21842
2019-12-04,1262,17899
2019-11-15,1256,14597
2019-12-16,1250,18575
2020-06-28,1249,28088
2019-06-14,1248,15322
2019-02-28,1248,15875
2019-05-03,1247,13740
2020-01-03,1246,16371
2019-12-02,1244,17973
2019-11-28,1243,16634
2019-06-05,1240,15176
2020-03-06,1239,16146
2019-03-28,1239,15689
2020-03-13,1237,14087
2019-09-05,1237,17080
2019-12-03,1234,17623
2020-07-18,1232,22119
2019-12-13,1232,14595
2019-04-18,1231,15361
2020-07-04,1220,24195
2020-04-28,1220,18262
2019-03-21,1217,14460
2019-02-14,1209,12734
2019-12-23,1204,15669
2019-12-12,1204,16662
2020-03-19,1203,37082
2019-01-25,1203,11398
2019-11-08,1195,14481
2019-11-07,1195,16912
2019-04-05,1195,13134
2019-08-16,1194,14224
2020-05-27,1192,26112
2019-03-29,1191,13634
2019-04-12,1186,14135
2019-02-07,1186,12416
2019-01-04,1183,11828
2020-07-05,1182,26263
2019-06-06,1182,15434
2019-07-05,1180,15224
2020-05-20,1178,23226
2019-09-17,1178,17783
2019-11-22,1177,14796
2019-04-26,1174,14603
2019-10-18,1170,15026
2019-08-12,1163,15982
2020-07-25,1162,22614
2019-03-15,1161,12571
2020-06-27,1156,25798
2019-06-07,1154,14032
2020-02-07,1149,18664
2019-09-27,1147,14728
2019-03-22,1145,13053
2019-06-28,1139,14304
2019-05-24,1132,14473
2020-05-25,1130,24175
2020-07-26,1128,23311
2019-09-29,1127,11267
2020-05-18,1125,27636
2019-11-01,1121,13562
2019-01-27,1116,8880
2019-01-18,1113,11616
2020-05-28,1112,24702
2020-06-14,1110,29403
2019-09-13,1109,14201
2020-05-26,1107,23987
2019-12-05,1105,16534
2019-09-20,1105,14104
2020-07-11,1104,19828
2019-09-06,1102,14408
2019-05-10,1094,13820
2020-05-15,1090,25135
2020-07-12,1088,20731
2019-10-25,1080,14084
2019-04-22,1078,14060
2020-05-06,1077,19894
2019-08-09,1076,14122
2019-12-06,1072,13948
2020-02-02,1069,14359
2020-05-19,1066,25305
2019-02-01,1064,10843
2020-03-15,1062,24872
2019-12-19,1062,15679
2019-05-30,1060,14963
2020-06-13,1059,23774
2020-03-20,1054,29418
2020-05-11,1043,20953
2020-05-14,1042,21500
2020-05-29,1041,21941
2019-03-01,1040,13689
2019-03-08,1039,11582
2019-02-22,1037,12367
2019-08-30,1034,13379
2020-01-19,1031,13845
2019-10-06,1031,11161
2020-02-28,1029,15282
2020-05-07,1028,19207
2019-11-20,1026,16015
2019-05-01,1025,13089
2020-01-31,1017,18320
2019-04-14,1014,11131
2019-04-19,1011,11463
2019-07-14,1010,11168
2020-06-07,1008,22569
2020-02-08,1006,12706
2020-02-16,1005,14286
2020-05-05,1002,18237
2019-05-31,1002,13675
2020-02-09,1000,13915
2020-01-11,993,12057
2019-03-17,993,9470
2019-02-15,991,12024
2020-01-26,989,13316
2020-06-20,986,20956
2019-10-04,986,15096
2019-12-30,983,14655
2019-09-22,983,10748
2020-05-12,982,20221
2019-05-19,982,10312
2020-06-21,979,22629
2020-06-06,975,21592
2020-03-01,972,12253
2019-06-22,966,10814
2019-01-11,964,12469
2019-02-08,949,10651
2019-04-07,948,10104
2020-05-04,947,17567
2020-05-13,946,21348
2020-02-01,945,13212
2019-05-12,945,9627
2020-03-14,936,17105
2019-01-20,936,8597
2020-03-08,930,11033
2019-07-06,930,9987
2020-02-23,928,13468
2019-09-15,920,10601
2019-06-16,920,10611
2019-02-23,912,8833
2020-01-04,908,11299
2019-07-28,908,10330
2019-07-07,907,11171
2019-05-11,907,9289
2019-03-24,906,10305
2020-02-15,904,12150
2019-06-30,904,11417
2019-07-21,903,11140
2019-12-24,892,13604
2019-10-27,887,10562
2019-12-20,886,13322
2020-01-12,885,12969
2019-11-29,885,13487
2020-05-16,882,23917
2020-05-22,876,20493
2020-05-21,872,21013
2020-04-22,871,15342
2020-01-05,869,12477
2019-08-18,864,10645
2020-01-18,858,13184
2020-04-01,856,12952
2019-10-13,855,11160
2019-11-03,852,10735
2020-05-08,851,16204
2019-07-20,851,10163
2019-02-17,851,8724
2020-04-29,850,16291
2019-06-15,850,10328
2019-04-28,850,10207
2020-04-23,849,13678
2019-08-03,848,9489
2020-04-06,841,11017
2019-12-08,840,10308
2019-01-05,839,7833
2019-03-03,837,9187
2019-04-13,835,9289
2019-12-15,834,10314
2019-02-24,834,9271
2019-04-06,833,9229
2019-01-12,831,8010
2019-05-04,829,9053
2019-03-10,829,9279
2019-09-14,826,9364
2019-09-01,826,9909
2019-10-20,823,10750
2020-05-17,821,20611
2020-01-25,820,11949
2019-02-10,820,8234
2019-11-09,819,9606
2020-03-30,817,11875
2020-03-25,817,12897
2019-10-12,815,10272
2020-03-24,814,14241
2019-09-07,814,9448
2020-02-22,809,12202
2019-03-09,806,8094
2019-05-26,799,10108
2019-05-18,798,9379
2019-09-08,796,10415
2019-04-21,796,9206
2019-08-25,792,9938
2019-08-17,792,9423
2019-08-11,789,8776
2019-01-13,789,8908
2019-06-08,787,10093
2019-10-19,786,9962
2019-01-06,786,8372
2019-04-27,785,9355
2019-11-10,784,10775
2019-02-03,781,7498
2019-12-27,780,11604
2019-06-09,780,11061
2020-05-30,774,16651
2020-05-31,773,17745
2019-03-02,772,8454
2019-11-16,770,9804
2019-01-19,770,7688
2020-04-30,769,14867
2019-11-17,765,10996
2019-09-21,765,9573
2020-04-21,763,15563
2019-11-23,760,9823
2019-07-13,759,10840
2019-06-23,757,10981
2019-05-05,757,9999
2020-02-29,755,10995
2019-12-14,752,10062
2019-11-02,752,9619
2020-04-20,751,13954
2019-08-10,751,8975
2019-03-16,750,8097
2019-02-02,749,7237
2019-10-05,748,9882
2019-08-04,748,10285
2019-12-26,746,11579
2019-12-29,733,10264
2020-03-31,732,11910
2019-03-31,729,9197
2019-06-29,727,9869
2019-05-25,727,9207
2019-06-01,725,8680
2020-04-27,724,15444
2019-02-09,723,7250
2020-03-23,722,16067
2019-11-24,721,11315
2019-04-20,717,8704
2019-03-23,717,11063
2020-04-03,714,10812
2019-09-28,714,9875
2020-04-15,713,12574
2020-04-02,704,12914
2020-05-01,698,12609
2020-04-16,698,13776
2020-04-07,698,10575
2020-04-17,697,12256
2019-01-26,696,7850
2019-12-31,694,10207
2019-06-02,693,9619
2020-05-10,692,13332
2020-05-24,689,16744
2020-05-23,688,16621
2020-03-07,684,10222
2019-03-30,684,8539
2020-03-26,682,11885
2019-08-24,681,9243
2020-04-09,680,10039
2019-07-27,677,9484
2019-02-16,676,7730
2019-10-26,670,9334
2020-05-03,666,12134
2019-08-31,663,8959
2020-05-09,660,12898
2020-03-27,656,10879
2019-12-22,648,9517
2019-12-01,640,10574
2019-12-21,638,8555
2019-12-25,629,9793
2020-04-14,624,12361
2020-03-21,621,15187
2020-03-22,611,12417
2019-11-30,611,9897
2020-04-08,610,9855
2019-12-28,603,8816
2020-01-01,602,9218
2020-03-28,599,8166
2020-04-24,594,12153
2019-12-07,591,9488
2020-04-26,567,10228
2019-01-01,557,5756
2020-04-18,545,9452
2020-03-29,541,7870
2020-05-02,536,11086
2020-04-10,516,8392
2020-04-19,479,9489
2020-04-25,467,9993
2020-04-11,466,7567
2020-04-04,440,7333
2020-04-13,433,10715
2020-04-05,428,7362
2020-04-12,349,8179
